jcompany_name,scompany_name,company_name_clean,company_tech_stack,company_keywords_jumpit,company_type,industry
리트빅,(주)리트빅,리트빅,C++;C;JSP;Embedded Linux;OpenGL;Windows;VSCodium;Azure Application Insights;PyTorch;Linux;OpenCV;Embedded;Android OS;AWS;MCU;Python,"평균연봉 상위 10%;매출액 100억 기업;급성장중;장기근속 포상;평균연봉 7,000 이상",중소기업;주식회사;수출입 기업,전기용 기계ㆍ장비 및 관련 기자재 도매업
송암시스콤,송암시스콤(주),송암시스콤,MQTT;Java;JSTL;JSP;PostgreSQL;MariaDB;Spring Boot;Node.js;Spring;WebSocket;jQuery;Spring Framework;TCP/IP;Bootstrap;Oracle,연봉상승률 10% 이상;매출액 100억 기업;육아휴직;장기근속 포상;자유로운 연차;휴가비 지원;프리한 복장;점심지원;워라밸;성과급/상여금,"",유선 통신장비 제조업
인아텍앤코포,인아텍앤코포 (주),인아텍앤코포,C#;MQTT;Java;C++;AI/인공지능;Spring Boot;gRPC;REST API;Git;Linux;OpenCV;ROS;JavaScript;MES;Embedded;Python,장기근속 포상;인천1호선 역세권 기업,"",기계·설비·자동차
스톤위즈,(주)스톤위즈,스톤위즈,AI/인공지능;SW;AWS IoT Device Management;Network;BigData,프리한 복장;5호선 역세권 기업;간식 제공,중소기업;주식회사,시스템 소프트웨어 개발 및 공급업
엘아이지시스템,(주)엘아이지시스템,엘아이지시스템,Azure SQL Database;DB;SQL,장기근속 포상;자유로운 연차;엘아이지 계열사;휴가비 지원;매출액 1000억 기업;프리한 복장,중견기업;외부감사법인,응용 소프트웨어 개발 및 공급업
태하,(주)태하,태하,C#;FW;C++;PLC;MES;Mfc;PCB;SQL,"평균연봉 상위 10%;주거복지;매출액 100억 기업;육아휴직;급성장중;장기근속 포상;휴가비 지원;프리한 복장;유연근무제;점심지원;평균연봉 7,000 이상;성과급/상여금","",산업용 로봇 제조업
에이디티,(주)에이디티,에이디티,C#;REST API;C++;C;SW;Linux;Visual C++;JavaScript;Mfc,주거복지;매출액 100억 기업;육아휴직;급성장중;장기근속 포상;성과급/상여금,1000대기업;중소기업;외부감사법인;수출입 기업,기기용 자동측정 및 제어장치 제조업
텔스타,텔스타(주),텔스타,C#;ERP;PLC;JavaScript;MySQL;HTML5;.NET;Bootstrap;TCP/IP;MES,"연봉상승률 15% 이상;주거복지;매출액 100억 기업;급성장중;장기근속 포상;평균연봉 6,000 이상","",기기용 자동측정 및 제어장치 제조업
미라텍,미라텍(주),미라텍,RTOS;C++;C;Embedded Linux,영업이익 20% 지속성장;급성장중;8호선 역세권 기업;점심지원;매출액 20% 지속성장;영업이익 150% 급성장;영업이익률 20% 이상,중소기업;수출입 기업,기타 자연과학 연구개발업
이우소프트,(주)이우소프트,이우소프트,Microsoft Office 365;Node.js;React;Jira;TypeScript;NoSql;Confluence;JavaScript;Flutter;Koa;AWS;DB;ExpressJS,"주거복지;장기근속 포상;바텍네트웍스 계열사;점심지원;간식 제공;평균연봉 6,000 이상",중소기업,컴퓨터 프로그래밍 서비스업
플라잎,(주)플라잎,플라잎,C++;AI/인공지능;PyTorch;C;Linux;ROS;Network;DeepLearning;MachineLearning;Python;TensorFlow,점심지원,중소기업;병역특례 인증업체,시스템 소프트웨어 개발 및 공급업
이스트에이드,(주)이스트에이드,이스트에이드,Git;Linux;GCP;HTML5;JavaScript;Spring Framework;Spring Boot;iOS;AWS;Python;AAC;MVVM;Coroutine;Kotlin;Flow,육아휴직;이스트소프트 계열사;코스닥;3호선 역세권 기업,중소기업;코스닥;주식회사,포털 및 기타 인터넷 정보매개 서비스업
바로팜,(주)바로팜,바로팜,CSS 3;AI/인공지능;Vue Native;Seobility;DeepLearning;React;TypeScript;React Query;Vue.js;jQuery;HTML5;JavaScript;Python,"연봉상승률 10% 이상;장기근속 포상;2호선 역세권 기업;아기 유니콘;점심지원;매출액 20% 지속성장;평균연봉 6,000 이상",중소기업;병역특례 인증업체,전자상거래 소매 중개업
하이테커,(주)하이테커,하이테커,TypeScript;Git;Next.js;React,급성장중;장기근속 포상;2호선 역세권 기업;성과급/상여금,중소기업;주식회사,""
오래,(주)오래,오래,Google Analytics;PostgreSQL;GitHub;GraphQL;Nuxt.js;Node.js;Asana;notion.so;Kotlin;TypeScript;REST API;Vue.js;Swagger UI;Figma;Docker;Slack;MySQL;Notion;Swift;Zeplin;AWS;ExpressJS,스타트업;급성장중;자유로운 연차;재택근무;유연근무제;영업이익 150% 급성장,스타트업;중소기업;주식회사,컴퓨터시스템 통합 자문 및 구축 서비스업
엠트리센,(주)엠트리센,엠트리센,C++;Rust;Autocad;Pads;PostgreSQL;Redis;Node.js;Orcad;PCB;HW;Git;Linux;Docker;JavaScript;Solidworks;FastAPI;MCU;Python,"평균연봉 상위 10%;급성장중;자유로운 연차;1호선 역세권 기업;유연근무제;점심지원;평균연봉 6,000 이상",중소기업;주식회사;외부감사법인;수출입 기업,경영 컨설팅업
이즈파크,(주)이즈파크,이즈파크,C++;.NET,매출액 100억 기업;육아휴직;장기근속 포상;자유로운 연차;영업이익 150% 급성장,중소기업;주식회사;외부감사법인,응용 소프트웨어 개발 및 공급업
센트비,(주)센트비,센트비,Golang;PostgreSQL;GitHub;Spring Boot;Next.js;CSS Modules;Tableau;gRPC;pnpm;TypeScript;Jotai;Docker;Confluence;Storybook;AWS;Java;Redis;Amazon Aurora;Tailwind CSS;Jira;React;Kotlin;SQL;Google Workspace;Git;Slack;Linux;Amazon Redshift;Spring Framework;Kubernetes,"시리즈B 투자유치;연봉상승률 10% 이상;스타트업;급성장중;5호선 역세권 기업;점심지원;평균연봉 6,000 이상",스타트업;중소기업;주식회사;병역특례 인증업체,그 외 기타 금융 지원 서비스업
티피씨인터넷,(주)티피씨인터넷,티피씨인터넷,CSS 3;Google Analytics;Google App Engine;Trello;GitHub;Google Cloud Platform;Nuxt.js;Node.js;iOS;Kotlin;Flow;Jenkins;TypeScript;Vue.js;REST API;Slack;HTML5;JavaScript;Swift;Coroutine;Android OS,급성장중;2호선 역세권 기업;간식 제공,중소기업,응용 소프트웨어 개발 및 공급업
트러스트,(주)트러스트,트러스트,CSS 3;Java;Vue.js;Django;JavaScript;HTML5;Node.js;Spring;React;Python,급성장중;프리한 복장;수인분당선 역세권 기업;워라밸,중소기업;주식회사;연구소,응용 소프트웨어 개발 및 공급업
서울거래,서울거래(주),서울거래,Java;CSS 3;MVVM;PostgreSQL;Infra;iOS;REST API;RDB;jQuery;Git;Celery;Django;HTML5;JavaScript;Create React Native App;Flutter;AWS;Android OS;Python;Dart,"육아휴직;자유로운 연차;프리한 복장;5호선 역세권 기업;아기 유니콘;워라밸;시리즈A 투자유치;성과급/상여금;평균연봉 6,000 이상",중소기업;주식회사,컴퓨터 프로그래밍 서비스업
디플래닉스,디플래닉스(주),디플래닉스,Jenkins;Java;PostgreSQL;Argo;MySQL;Redis;Spring Boot;Spring Data JPA;AWS;Mybatis;GitLab,"평균연봉 상위 10%;교보생명보험 계열사;9호선 역세권 기업;평균연봉 7,000 이상",중견기업;주식회사;외부감사법인,자료 처리업
벳칭,벳칭(주),벳칭,RabbitMQ;TypeScript;REST API;NoSql;Terraform;GraphQL;Go;Kafka;Pulumi;AWS;Amazon RDS;gRPC,연봉상승률 15% 이상;아기 유니콘,중소기업;주식회사,응용 소프트웨어 개발 및 공급업
나무기술,나무기술(주),나무기술,AZURE;AI/인공지능;VPN;Infra;Prometheus;Istio;Citrix Gateway;MSSQL;AWS;Grafana;DB;Python,육아휴직;장기근속 포상;자유로운 연차;코스닥;9호선 역세권 기업;사내 카페,중소기업;코스닥,응용 소프트웨어 개발 및 공급업
엔피아이네트웍스,(주)엔피아이네트웍스,엔피아이네트웍스,Java;C,영업이익 20% 지속성장;매출액 150% 급성장;7호선 역세권 기업;매출액 20% 지속성장;영업이익 150% 급성장,중소기업,"컴퓨터 및 주변장치, 소프트웨어 도매업"
에스디티,에스디티(주),에스디티,C#;C++;C;Linux;Windows;Python,급성장중;패밀리데이;프리한 복장;2호선 역세권 기업;유연근무제,중소기업;주식회사;병역특례 인증업체,전기ㆍ전자공학 연구개발업
제로,(주)제로,제로,Git;Rust;GitHub;Electron;Network;FastAPI;Windows;IPS;Python;Firewall,자유로운 연차;3호선 역세권 기업;유연근무제,중소기업;주식회사,응용 소프트웨어 개발 및 공급업
메디플렉서스,(주)메디플렉서스,메디플렉서스,SAP;Linux;PostgreSQL;MySQL;Vertica;MariaDB;Windows;MSSQL;Oracle;SQL,자유로운 연차;간식 제공,중소기업;주식회사,응용 소프트웨어 개발 및 공급업
코워커넷,(주)코워커넷,코워커넷,CSS 3;REST API;jQuery;Linux;MySQL;HTML5;JavaScript;PHP;MariaDB;Laravel,3호선 역세권 기업;간식 제공,중소기업;주식회사,응용 소프트웨어 개발 및 공급업
이스트소프트,(주)이스트소프트,이스트소프트,C lang;Microsoft Teams;PostgreSQL;Cassandra;DeepLearning;Spring Boot;Jira;REST API;PyTorch;Docker;FFMPEG;MySQL;Notion;FastAPI;MongoDB;Python;Flask;Kubernetes;TensorFlow,자유로운 연차;코스닥;휴가비 지원;3호선 역세권 기업,"",응용 소프트웨어 개발 및 공급업
(주)혁산정보시스템,(주)혁산정보시스템,혁산정보시스템,Java;JavaScript;MySQL;JSON;Apache Tomcat;Oracle;MSSQL;React,스타트업;장기근속 포상;간식 제공,스타트업;중소기업;주식회사;외부감사법인,""
페이앤스토어,(주)페이앤스토어,페이앤스토어,Java;Hibernate;Windows Terminal;Akka HTTP;Windows;Jira;Apache HTTP Server;QA;Slack;JavaScript;Spring Framework;TCP/IP;Spring Data JPA,자유로운 연차;프리한 복장;2호선 역세권 기업;유연근무제,중소기업;주식회사,포털 및 기타 인터넷 정보매개 서비스업
온블록,(주)온블록,온블록,Golang;Git;Figma;Azure Cosmos DB;GitHub;MySQL;Jira;AWS;Nft;Python;Kubernetes;GitUI,"평균연봉 상위 10%;연봉상승률 20% 이상;자유로운 연차;2호선 역세권 기업;유연근무제;점심지원;평균연봉 7,000 이상",중소기업;외국인 투자기업;주식회사,응용 소프트웨어 개발 및 공급업
퍼퓸그라피,(주)퍼퓸그라피,퍼퓸그라피,TypeScript;CSS 3;jQuery;Figma;HTML5;JavaScript;PHP;Node.js;Shopify;React,연봉상승률 10% 이상;스타트업;급성장중;자유로운 연차;4호선 역세권 기업;Pre A 투자유치,스타트업;중소기업,"화장품, 비누 및 방향제 소매업"
피에프씨테크놀로지스,피에프씨테크놀로지스(주),피에프씨테크놀로지스,MVVM;Dagger Hilt;React;Jetpack;Kotlin;REST API;Vue.js;Retrofit;OkHttp;Django;Jetpack Compose;FastAPI;Room;Angular 2;Python,"스타트업;시리즈C 투자유치;매출액 100억 기업;2호선 역세권 기업;점심지원;500억 이상 투자유치;평균연봉 6,000 이상",스타트업;기타;병역특례 인증업체,그 외 기타 금융 지원 서비스업
아인잡,(주)아인잡,아인잡,Java;CSS 3;GitHub;Redis;Spring Boot;Next.js;Jira;React;TypeScript;REST API;NoSql;Docker;Slack;MySQL;Spring Framework;Notion;MongoDB;AWS;Spring Data JPA;Webpack,급성장중;2호선 역세권 기업;간식 제공,중소기업;주식회사,응용 소프트웨어 개발 및 공급업
싸이프,(주)싸이프,싸이프,Jenkins;Java;C++;Spring MVC;Git;MySQL;Spring Boot;Oracle;Jira;Python,"평균연봉 상위 10%;연봉상승률 30% 이상;간식 제공;평균연봉 7,000 이상",중소기업;주식회사;외부감사법인;연구소,기타 반도체소자 제조업
캔랩코리아,(주)캔랩코리아,캔랩코리아,TypeScript;Vue.js;Jasmine;Mocha;React;Jest,3호선 역세권 기업,중소기업,응용 소프트웨어 개발 및 공급업
채비,채비(주),채비,C#;Java;C;SW;Autocad;Pads;Windows;WPF;Orcad;PCB;HW;FW;Linux;Analog;SMPS;Embedded;Android OS,매출액 500억 기업;자유로운 연차;프리한 복장,중소기업;주식회사;외부감사법인;수출입 기업,기타 전기 변환장치 제조업
몬드리안에이아이,몬드리안에이아이(주),몬드리안에이아이,Linux;Docker;Terraform;Helm;Kubernetes,급성장중;자유로운 연차;유연근무제;성과급/상여금,중소기업;주식회사;연구소;병역특례 인증업체,시스템 소프트웨어 개발 및 공급업
리비바이오,(주)리비바이오,리비바이오,Java;PostgreSQL;Go;Redis;Node.js;iOS;Kotlin;TypeScript;Backendless;Git;MySQL;PHP;BigData;MSA;Swift;Android SDK;Android Studio;Etl;Android OS,장기근속 포상;2호선 역세권 기업;유연근무제;점심지원,중소기업,데이터베이스 및 온라인정보 제공업
에이엠시지,(주)에이엠시지,에이엠시지,C++;Qt;Fastify;Visual C++;DeepLearning;Node.js;MachineLearning;React;NumPy;WebSocket;Protobuf;SQL;FastAPI;GUI;DICOM;MessagePack;Python;ExpressJS,"평균연봉 상위 10%;코넥스;자유로운 연차;2호선 역세권 기업;점심지원;Seed 투자유치;평균연봉 7,000 이상",중소기업;코넥스;주식회사;수출입 기업,그 외 기타 의료용 기기 제조업
패스트레인,(주)패스트레인,패스트레인,Java;IntelliJ IDEA;GitHub;Redis;Spring Boot;React;Jira;Kotlin;PyTorch;Elasticsearch;Docker;GCP;Confluence;NGINX;PHP;MongoDB;React Native;Gradle;AWS;TensorFlow;Python,"시리즈B 투자유치;평균연봉 상위 10%;영업이익 20% 지속성장;매출액 100억 기업;급성장중;장기근속 포상;2호선 역세권 기업;점심지원;매출액 20% 지속성장;간식 제공;성과급/상여금;평균연봉 6,000 이상",중소기업;주식회사,광고 대행업
빅웨이브로보틱스,빅웨이브로보틱스(주),빅웨이브로보틱스,TypeScript;Java;JavaScript;Next.js;AWS;React;WebSocket,스타트업;급성장중;2호선 역세권 기업;유연근무제;점심지원,스타트업;주식회사;외부감사법인;병역특례 인증업체,응용 소프트웨어 개발 및 공급업
이카루스,이카루스,이카루스,C++;SW;HW,"","",기계·설비·자동차
스마트푸드네트웍스,스마트푸드네트웍스(주),스마트푸드네트웍스,Java;QueryDSL;Next.js;Spring;Jira;SQL;Kotlin;pnpm;React Query;Jotai;TypeScript;R;Git;Confluence;TailwindCSS;AWS;Webpack;Python,"연봉상승률 10% 이상;급성장중;자유로운 연차;3호선 역세권 기업;평균연봉 6,000 이상",중견기업;주식회사,"화물운송 중개, 대리 및 관련 서비스업"
그리드큐어,(주)그리드큐어,그리드큐어,FPGA;Embedded;Orcad;PCB,프리한 복장,중소기업;주식회사,"그 외 기타 분류 안된 전문, 과학 및 기술 서비스업"
씨맥스,씨맥스(주),씨맥스,C#;REST API;AI/인공지능;MySQL;.NET;MES;Spring Boot;Oracle;Spring;Python,매출액 150% 급성장;유연근무제;매출액 20% 지속성장,중소기업;주식회사,응용 소프트웨어 개발 및 공급업
시스트란,(주)시스트란,시스트란,AI/인공지능;PyTorch;NLP;Linux;Docker;K8S;DeepLearning;MachineLearning;Azure DevOps;Python;TensorFlow;Kubernetes,"평균연봉 상위 10%;급성장중;자유로운 연차;프리한 복장;점심지원;워라밸;간식 제공;평균연봉 6,000 이상",중소기업;주식회사;외부감사법인;연구소,응용 소프트웨어 개발 및 공급업
라텔앤드파트너즈,(주)라텔앤드파트너즈,라텔앤드파트너즈,Java;Amazon EC2;Spring Boot;Apache Tomcat;Windows;Kotlin;Jenkins;Backendless;Linux;Docker;Network;SonarQube;AWS,연봉상승률 10% 이상;영업이익 20% 지속성장;장기근속 포상;3호선 역세권 기업;간식 제공;영업이익 150% 급성장,중소기업,응용 소프트웨어 개발 및 공급업
에이버튼,(주)에이버튼,에이버튼,OpenProject;Project Reactor;C++;Unreal Engine;Git;Perforce;Unity;Blueprint;AWS Mobile Hub,경강선 역세권 기업;간식 제공;사내 카페,중소기업,응용 소프트웨어 개발 및 공급업
드림라인,드림라인(주),드림라인,ERP;PostgreSQL;MySQL;Spring Framework;Oracle,대기업 인기TOP100;대기업;아이엠엠 계열사;7호선 역세권 기업;점심지원,대기업;외부감사법인,유선 통신업
올거나이즈코리아,올거나이즈코리아(주),올거나이즈코리아,CSS 3;AI/인공지능;Babel;GraphQL;React;TypeScript;Backendless;PyTorch;NLP;Git;Docker;Django;JavaScript;HTML5;Keras;Webpack;TensorFlow;Python,"연봉상승률 10% 이상;평균연봉 상위 10%;스타트업;급성장중;2호선 역세권 기업;점심지원;평균연봉 7,000 이상",스타트업,데이터베이스 및 온라인정보 제공업
제네시스네스트,(주)제네시스네스트,제네시스네스트,Java;REST API;Linux;Solidity;PostgreSQL;Blockchain;MySQL;Spring Framework;Spring;Oracle,영업이익 20% 지속성장;급성장중;매출액 150% 급성장;휴가비 지원;신분당선 역세권 기업;유연근무제;점심지원;매출액 20% 지속성장;영업이익 150% 급성장,중소기업;주식회사;연구소,응용 소프트웨어 개발 및 공급업
비욘드메디슨,(주)비욘드메디슨,비욘드메디슨,REST API;Rust;Git;Flutter;Spring Boot;Spring;AWS;gRPC;Kotlin,급성장중;매출액 150% 급성장;2호선 역세권 기업;점심지원;매출액 20% 지속성장,중소기업;주식회사;사단법인;연구소,의학 및 약학 연구개발업
이노케어플러스,(주)이노케어플러스,이노케어플러스,Docker;Pandas;Kafka;AWS;Kubernetes;Python;SQL;CSS 3;REST API;Git;Babel;Redux;HTML5;JavaScript;React;Webpack,2호선 역세권 기업;유연근무제;간식 제공,중소기업,응용 소프트웨어 개발 및 공급업
엑스페릭스,(주)엑스페릭스,엑스페릭스,C#;Java;C++;PyTorch;Linux;SW;DeepLearning;Windows;Python;TensorFlow,"연봉상승률 10% 이상;주거복지;급성장중;코스닥;평균연봉 6,000 이상",중소기업;코스닥;주식회사,그 외 기타 전자부품 제조업
삼영기업,(주)삼영기업,삼영기업,Java;JSP;JavaScript;HTML5;MySQL;Nexacro;PHP;Oracle;SQL,"연봉상승률 10% 이상;평균연봉 상위 10%;급성장중;매출액 1000억 기업;9호선 역세권 기업;평균연봉 7,000 이상",중견기업;주식회사,내부 전기배선 공사업
아이코어,(주)아이코어,아이코어,FW;VHDL;FPGA;Verilog;Embedded;PCB;HW,급성장중;자유로운 연차;휴가비 지원;1호선 역세권 기업;유연근무제;점심지원;시리즈A 투자유치,중소기업;주식회사;수출입 기업,비디오 및 기타 영상기기 제조업
제논,(주)제논,제논,Java;AI/인공지능;GitHub;Scala;DeepLearning;MachineLearning;Jira;NoSql;NLP;PyTorch;Docker;Linux;Elasticsearch;Django;FastAPI;Spark;Etl;Python;Flask;Kubernetes;TensorFlow,"평균연봉 상위 10%;영업이익 20% 지속성장;3호선 역세권 기업;점심지원;평균연봉 7,000 이상;영업이익 150% 급성장",중소기업;주식회사;병역특례 인증업체,경영 컨설팅업
비바이노베이션,(주)비바이노베이션,비바이노베이션,scikit-learn;iOS;SQL;Git;PyTorch;NoSql;Celery;Docker;Terraform;Django;MySQL;FastAPI;MongoDB;Swift;AWS;Python;TensorFlow;Kubernetes,시리즈B 투자유치;연봉상승률 15% 이상;급성장중;장기근속 포상;9호선 역세권 기업;점심지원;간식 제공,중소기업;주식회사,시스템 소프트웨어 개발 및 공급업
디아이,(주)디아이,디아이,C#;VHDL;C++;C;FPGA;Verilog,"연봉상승률 10% 이상;평균연봉 상위 10%;급성장중;7호선 역세권 기업;코스피;평균연봉 7,000 이상",중견기업;코스피;주식회사;외부감사법인;수출입 기업,"전자기 측정, 시험 및 분석기구 제조업"
유진로봇,(주)유진로봇,유진로봇,C#;Google Analytics;C;PLC;PostgreSQL;TypeScript;RDB;NoSql;JavaScript;Network;MySQL;GUI;Embedded;Java;C++;SW;Node.js;WebSocket;SQL;Git;Linux;Analog;ROS;MES;Microsoft Excel,"연봉상승률 10% 이상;육아휴직;급성장중;장기근속 포상;코스닥;인천1호선 역세권 기업;유연근무제;점심지원;사내 카페;평균연봉 6,000 이상","",산업용 로봇 제조업
금영제너럴,(주)금영제너럴,금영제너럴,C;SW;HW,매출액 100억 기업;5호선 역세권 기업,중소기업;외부감사법인;연구소;병역특례 인증업체;수출입 기업,승강기 제조업
소프트넷,(주)소프트넷,소프트넷,Java;Windows Server;Windows;Spring;React;SQL;Azure Synapse;AZURE;Vue.js;REST API;Docker;JavaScript;Azure DevOps;Angular 2,"연봉상승률 10% 이상;평균연봉 상위 10%;스타트업;9호선 역세권 기업;평균연봉 7,000 이상",스타트업;중소기업;주식회사,컴퓨터시스템 통합 자문 및 구축 서비스업
에스에이티,(주)에스에이티,에스에이티,C#;Java;SW;Mfc;HW;FW;Linux;OpenCV;Spring Framework;TCP/IP;Embedded;MCU;Python,연봉상승률 10% 이상;흥아 계열사;코스닥;1호선 역세권 기업,"",기기용 자동측정 및 제어장치 제조업
인텔리안테크놀로지스,(주)인텔리안테크놀로지스,인텔리안테크놀로지스,C++;C;Embedded Linux;JsonAPI,"스타트업;연봉상승률 15% 이상;주거복지;급성장중;코스닥;휴가비 지원;간식 제공;평균연봉 6,000 이상",스타트업;중소기업;코스닥;외부감사법인;수출입 기업,기타 무선 통신장비 제조업
애드크림,(주)애드크림,애드크림,C#;AngularJS;Vue.js;REST API;Classic ASP;ASP.NET;FastAPI;React.js Boilerplate;MSSQL;React;DB;Python,장기근속 포상;프리한 복장;3호선 역세권 기업;점심지원;워라밸;사내 카페;영업이익률 20% 이상,중소기업;주식회사,데이터베이스 및 온라인정보 제공업
에어키,(주)에어키,에어키,CSS 3;Java;Ccie;Ccna;IPS;jQuery;VPN;HTML5;JavaScript;Network;Cisco;TCP/IP;Ccnp;Ajax;Python,"급성장중;장기근속 포상;자유로운 연차;재택근무;프리한 복장;9호선 역세권 기업;점심지원;워라밸;간식 제공;성과급/상여금;평균연봉 6,000 이상;영업이익 20% 지속성장;매출액 100억 기업",중소기업;주식회사,컴퓨터시스템 통합 자문 및 구축 서비스업
슈어소프트테크,슈어소프트테크(주),슈어소프트테크,C#;RTOS;Java;C++;AI/인공지능;C;SW;Visual Studio;MATLAB;Kotlin;Linux;Embedded;MCU;Python,스타트업;코스닥;유연근무제,스타트업;중소기업;코스닥;주식회사;병역특례 인증업체,응용 소프트웨어 개발 및 공급업
필라넷,(주)필라넷,필라넷,TypeScript;AZURE;Git;JavaScript;Node.js;Windows;MSSQL;React;NestJS,스타트업;육아휴직;한일홀딩스 계열사;3호선 역세권 기업;사내 카페,스타트업;중소기업;주식회사;외부감사법인;연구소;병역특례 인증업체,컴퓨터시스템 통합 자문 및 구축 서비스업
크레버스,(주)크레버스,크레버스,CSS 3;AI/인공지능;PostgreSQL;Node.js;Next.js;gRPC;TypeScript;AZURE;Vue.js;NLP;Git;SCSS;MySQL;HTML5;JavaScript;FastAPI;AWS;Python,급성장중;코스닥;2호선 역세권 기업,중견기업;코스닥;외부감사법인,외국어학원
사이버다임,(주)사이버다임,사이버다임,Xcode;Redmine;Recoil;Mfc;RDB;JavaScript;MySQL;Oracle;Android Studio;Java;CSS 3;C++;JSP;Redux;Node.js;Visual Studio;Spring;MSSQL;SQL;Jenkins;jQuery;HTML5;Spring Framework;React Native;Webpack,"매출액 100억 기업;자유로운 연차;2호선 역세권 기업;유연근무제;사내 카페;평균연봉 6,000 이상",중소기업;주식회사;외부감사법인;수출입 기업,응용 소프트웨어 개발 및 공급업
티사이언티픽,(주)티사이언티픽,티사이언티픽,Golang;C++;Docker;Linux;vmware;Python,스타트업;급성장중;제이에스아이홀딩스 계열사;코스닥;1호선 역세권 기업,스타트업;중소기업;코스닥;주식회사;외부감사법인;병역특례 인증업체;수출입 기업,응용 소프트웨어 개발 및 공급업
판도라티비,(주)판도라티비,판도라티비,Git;Elasticsearch;Django;NGINX;MySQL;Blockchain;Redis;AWS;Python,코넥스;패밀리데이;휴가비 지원;사내 카페,중소기업;코넥스;주식회사,시스템 소프트웨어 개발 및 공급업
스콥정보통신,스콥정보통신(주),스콥정보통신,C++;Rust;C;LDAP;L2;L3;Go;L4;Git;Linux;Network;TCP/IP;Vault;Python;Kubernetes,"연봉상승률 15% 이상;장기근속 포상;자유로운 연차;휴가비 지원;재택근무;프리한 복장;3호선 역세권 기업;유연근무제;성과급/상여금;사내 카페;평균연봉 6,000 이상",중소기업;수출입 기업,응용 소프트웨어 개발 및 공급업
에이스웍스코리아,(주)에이스웍스코리아,에이스웍스코리아,C#;RTOS;C++;AI/인공지능;C;SW;Autocad;DeepLearning;MATLAB;Linear;SQL;ethernet;labview;FW;PyTorch;Git;Linux;HTML5;Solidworks;Embedded;MCU;Python,스타트업;매출액 100억 기업;육아휴직;급성장중;장기근속 포상;자유로운 연차;휴가비 지원;2호선 역세권 기업;유연근무제,스타트업;중소기업;주식회사;연구소;병역특례 인증업체;수출입 기업,그 외 자동차용 신품 부품 제조업
네비웍스,(주)네비웍스,네비웍스,C#;AI/인공지능;C;DeepLearning;Mfc;HW;QA;REST API;Unreal Engine;PyTorch;Confluence;3D Rendering;Solidworks;TCP/IP;GUI;NestJS;ExpressJS;Python;TensorFlow;C++;SW;Autocad;2D Rendering;React;Orcad;Jira;PCB;SQL;Git;Linux,매출액 100억 기업;재택근무;4호선 역세권 기업,중소기업;주식회사;병역특례 인증업체,응용 소프트웨어 개발 및 공급업
엠로,(주)엠로,엠로,QA;Java;JavaScript;Spring Framework;Python,"평균연봉 상위 10%;장기근속 포상;코스닥;2호선 역세권 기업;성과급/상여금;평균연봉 6,000 이상",중소기업;코스닥;주식회사;외부감사법인;병역특례 인증업체,응용 소프트웨어 개발 및 공급업
씨브이네트,(주)씨브이네트,씨브이네트,C++;Qt;Linux;SW;Embedded;ARM;Android OS;HW,"평균연봉 상위 10%;대기업;육아휴직;삼성 계열사;8호선 역세권 기업;점심지원;평균연봉 7,000 이상",대기업;외부감사법인,내부 통신배선 공사업
한싹,(주)한싹,한싹,Linux;Network;DB,매출액 100억 기업;장기근속 포상;코스닥;프리한 복장;유연근무제;점심지원;워라밸;성과급/상여금,중소기업;코스닥;주식회사,응용 소프트웨어 개발 및 공급업
다우기술,(주)다우기술,다우기술,ERP;C;PostgreSQL;Mfc;Mantis;VPN;JavaScript;MySQL;Objective-C;Oracle;Python;Java;C++;L2;L3;vmware;L4;Redis;MariaDB;Jira;Kotlin;Vue.js;jQuery;Linux;Cisco;Spring Framework;Swift;Mybatis;DB,"평균연봉 상위 10%;주거복지;다우키움 계열사;유연근무제;코스피;평균연봉 7,000 이상",1000대기업;중견기업;코스피;외부감사법인;수출입 기업,포털 및 기타 인터넷 정보매개 서비스업
숲,(주)숲,숲,TypeScript;REST API;JavaScript;Node.js;NestJS;ExpressJS,"평균연봉 상위 10%;장기근속 포상;코스닥;평균연봉 7,000 이상;성과급/상여금;사내 카페",중견기업;코스닥;외부감사법인;수출입 기업,시스템 소프트웨어 개발 및 공급업
이너버스,(주)이너버스,이너버스,Shell;SW;Linux;Docker;Elasticsearch;vmware;Kafka;Python,스타트업;육아휴직;장기근속 포상;재택근무;프리한 복장;9호선 역세권 기업;유연근무제;사내 카페,스타트업;중소기업;주식회사,시스템 소프트웨어 개발 및 공급업
더블미디어,(주)더블미디어,더블미디어,Golang;Vue.js;CSS 3;JavaScript;MySQL;Redis;AWS;React;NestJS,매출액 500억 기업;장기근속 포상;7호선 역세권 기업;점심지원;사내 카페;영업이익률 20% 이상,중소기업,위성 및 기타 방송업
알비에치,알비에치(주),알비에치,REST API;AI/인공지능;DeepLearning;Flutter;iOS;MachineLearning;Android OS;React;Python,"4호선 역세권 기업;유연근무제;점심지원;워라밸;평균연봉 6,000 이상",중소기업;주식회사;수출입 기업,""
인피닉,(주)인피닉,인피닉,QA;C;SW;Python,매출액 100억 기업;육아휴직;장기근속 포상;1호선 역세권 기업;Pre IPO 투자유치,중소기업;주식회사;연구소;병역특례 인증업체,응용 소프트웨어 개발 및 공급업
